complex_id	complex_name	synonyms	organism	cell_line	pmid	comment_complex	comment_members	comment_disease	comment_drug	comment_drug_formal	subunits_uniprot_id	subunits_gene_name	subunits_gene_name_synonyms	subunits_protein_name	subunits_proteinname_synonyms	subunits_organism	subunits_drugs	subunits_mims	subunits_stoechiometrie	purification_methods	functions_evi	functions_pmid	functions_go_id	functions_go_name	functions_go_ontology	fcgs_description	fcgs_id	fcgs_name	fcgs_category_id	fcgs_category_name	fcgs_go_id	fcgs_go_name	fcgs_go_ontology
9934	ACLY homotetramer		Human	in vitro	9116495	ATP-citrate synthase (ACLY) is the primary enzyme responsible for the synthesis of cytosolic acetyl-CoA, which in turn is required for de novo lipogenesis and cholesterogenesis, and its inhibition directly reduces cholesterol synthesis in the liver.		Inhibition of ACLY leads to LDL receptor upregulation, decreased LDL-C and attenuation of atherosclerosis (PMID: 27892461).	Using kinetic analyses, it was shown that bempedoic acid inhibits the activity of the ACLY homotetramer (PMID: 27892461).	[ACLY; ACLY homotetramer; 9934; bempedoic acid; inhibits; complex activity; 27892461]	P53396	ACLY		ATP-citrate synthase		Homo sapiens (Human)	bempedoic acid		4	MI:0071:molecular sieving;MI:0226:ion exchange chromatography	lit;lit;lit;lit;lit	20558738;20558738;20558738;20558738;20558738	GO:0005737;GO:0006085;GO:0006101;GO:0006107;GO:0006695	cytoplasm;acetyl-CoA biosynthetic process;citrate metabolic process;oxaloacetate metabolic process;cholesterol biosynthetic process	cellular_component;biological_process;biological_process;biological_process;biological_process								
9935	AKT3-PDE3B complex		Human	HCT116 cells	33961781	PDE3B, one of several enzymes which hydrolyze cAMP and cGMP, is expressed in cells of importance for the regulation of energy homeostasis, including adipocytes, hepatocytes, hypothalamic cells and beta cells. It has been shown, using PDE3 inhibitors and gene targeting approaches in cells and animals, that altered levels of PDE3B result in a number of changes in the regulation of glucose and lipid metabolism and in overall energy homeostasis (PMID: 22001403). PDE3B was found to interact with AKT3 (PMID: 33961781). Akt3 regulates mitochondrial content in endothelial cells through the inhibition of PGC-1alpha/PPARGC1A nuclear localization and is also required for angiogenesis (PMID: 33087445).			Cilostazol (Pletal), a drug for relief of symptoms of intermittent claudication, potently inhibits cyclic nucleotide phosphodiesterase type 3 (PDE3) and moderately inhibits adenosine uptake. It elevates extracellular adenosine concentration, by inhibiting adenosine uptake, and combines with PDE3 inhibition to augment inhibition of platelet aggregation and vasodilation while attenuating positive chronotropic and inotropic effects on the heart. In the presence of exogenous adenosine, the combination of cilostazol and dipyridamole synergistically increased intra-platelet cAMP. In whole blood, cilostazol and dipyridamole synergistically inhibited collagen- and ADP-induced platelet aggregation in vitro (PMID: 15243309). The activities of PDE1C, 3A, and 3B were directly inhibited by amlexanox (PMID: 32504661).		Q9Y243;Q13370	AKT3;PDE3B	PKBG;	RAC-gamma serine/threonine-protein kinase;cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B	;	Homo sapiens (Human);Homo sapiens (Human)	dipyridamole;olprinone;pimobendan;choline theophyllinate;bufylline	615937	;	MI:0047:far western blotting;MI:0069:mass spectrometry studies of complexes;MI:0518:flag tag	lit;lit;exp	33961781;22001403;33961781	GO:0004119;GO:0097009;GO:0120283	3',5'-cGMP-inhibited cyclic-nucleotide phosphodiesterase activity;energy homeostasis;protein serine/threonine kinase binding	molecular_function;biological_process;molecular_function								
9936	ADH1A homodimer		Human	in vitro	15449945	ADH1A belongs to class I ADH isoenzymes which are all expressed primarily in the liver. The zinc-dependent medium chain alcohol dehydrogenases are cytosolic, dimeric isoenzymes that catalyze the NAD-(H)-dependent, reversible oxidation of alcohols to their corresponding aldehydes or ketones.	The complex has also been purified and investigated in PMID: 6342668.		Using kinetic studies, it was shown that fomepizole (4-methylpyrazole) inhibits the activity of the ADH1A complex (PMID: 21167143).	[ADH1A; ADH1A homodimer; 9936; fomepizole; inhibits; complex activity; 21167143]	P07327	ADH1A	ADH1	Alcohol dehydrogenase 1A		Homo sapiens (Human)	fomepizole			MI:0114:x-ray crystallography	lit	15449945	GO:0004022	alcohol dehydrogenase (NAD+) activity	molecular_function								
9937	ADH1A-ADH1B complex		Human	liver	6342668	The zinc-dependent medium chain alcohol dehydrogenases are cytosolic, dimeric isoenzymes that catalyze the NAD-(H)-dependent, reversible oxidation of alcohols to their corresponding aldehydes or ketones.					P07327;P00325	ADH1A;ADH1B	ADH1;ADH2	Alcohol dehydrogenase 1A;All-trans-retinol dehydrogenase [NAD(+)] ADH1B	;	Homo sapiens (Human);Homo sapiens (Human)	fomepizole;fomepizole		;	MI:0004:affinity chromatography technology;MI:0071:molecular sieving;MI:0226:ion exchange chromatography	lit	6342668	GO:0004022	alcohol dehydrogenase (NAD+) activity	molecular_function								
9938	ADH1A-ADH1C complex		Human	liver	6342668	The zinc-dependent medium chain alcohol dehydrogenases are cytosolic, dimeric isoenzymes that catalyze the NAD-(H)-dependent, reversible oxidation of alcohols to their corresponding aldehydes or ketones.					P07327;P00326	ADH1A;ADH1C	ADH1;ADH3	Alcohol dehydrogenase 1A;Alcohol dehydrogenase 1C	;	Homo sapiens (Human);Homo sapiens (Human)	fomepizole;fomepizole		;	MI:0004:affinity chromatography technology;MI:0071:molecular sieving;MI:0226:ion exchange chromatography	lit	6342668	GO:0004022	alcohol dehydrogenase (NAD+) activity	molecular_function								
9939	ADH1B homodimer		Human	in vitro	15449945	ADH1B belongs to class I ADH isoenzymes which are all expressed primarily in the liver. The zinc-dependent medium chain alcohol dehydrogenases are cytosolic, dimeric isoenzymes that catalyze the NAD-(H)-dependent, reversible oxidation of alcohols to their corresponding aldehydes or ketones.	The complex has also been purified and investigated in PMID: 6342668.				P00325	ADH1B	ADH2	All-trans-retinol dehydrogenase [NAD(+)] ADH1B		Homo sapiens (Human)	fomepizole			MI:0114:x-ray crystallography	lit	15449945	GO:0004022	alcohol dehydrogenase (NAD+) activity	molecular_function								
9940	ADH1B-ADH1C complex		Human	liver	6342668	The zinc-dependent medium chain alcohol dehydrogenases are cytosolic, dimeric isoenzymes that catalyze the NAD-(H)-dependent, reversible oxidation of alcohols to their corresponding aldehydes or ketones.					P00325;P00326	ADH1B;ADH1C	ADH2;ADH3	All-trans-retinol dehydrogenase [NAD(+)] ADH1B;Alcohol dehydrogenase 1C	;	Homo sapiens (Human);Homo sapiens (Human)	fomepizole;fomepizole		;	MI:0004:affinity chromatography technology;MI:0071:molecular sieving;MI:0226:ion exchange chromatography	lit	6342668	GO:0004022	alcohol dehydrogenase (NAD+) activity	molecular_function								
9941	PDE3A-TRIM13 complex		Human	HEK293 cells	33961781	PDE3A plays an important role in the regulation of cyclic adenosine monophosphate (cAMP)-mediated intracellular signaling in cardiac myocytes and platelets. PDE3A hydrolyzes cAMP, which results in a decrease in intracellular cAMP levels and leads to platelet activation (PMID: 33249558). PDE3A was found to interact with TRIM13 (PMID: 33961781). TRIM13, a member of the TRIM family, is a RING domain containing E3 ubiquitin ligase which plays critical roles in diverse cellular processes including cell death, cancer and antiviral immunity (PMID: 31762344).			PDE3A activity is inhibited by cilostazol in a dose-dependent manner (PMID: 33249558). The activities of PDE1C, 3A, and 3B were directly inhibited by amlexanox (PMID: 32504661).		Q14432;O60858	PDE3A;TRIM13	;LEU5,RFP2,RNF77	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A;E3 ubiquitin-protein ligase TRIM13	;	Homo sapiens (Human);Homo sapiens (Human)	amrinone;anagrelide;cilostazol;dipyridamole;diprophylline;milrinone;olprinone;pimobendan;theophylline;choline theophyllinate;bufylline	112410	;	MI:0047:far western blotting;MI:0069:mass spectrometry studies of complexes;MI:0518:flag tag	lit;exp	33961781;33961781	GO:0004119;GO:0031625	3',5'-cGMP-inhibited cyclic-nucleotide phosphodiesterase activity;ubiquitin protein ligase binding	molecular_function;molecular_function								
9942	ADH1C homodimer		Human	in vitro	15449945	ADH1C belongs to class I ADH isoenzymes which are all expressed primarily in the liver. The zinc-dependent medium chain alcohol dehydrogenases are cytosolic, dimeric isoenzymes that catalyze the NAD-(H)-dependent, reversible oxidation of alcohols to their corresponding aldehydes or ketones.	The complex has also been purified and investigated in PMID: 6342668.		Using kinetic studies, it was shown that fomepizole (4-methylpyrazole) inhibits the activity of the ADH1C homodimer (PMID: 21167143).	[ADH1C; ADH1C homodimer; 9942; fomepizole; inhibits; complex activity; 21167143]	P00326	ADH1C	ADH3	Alcohol dehydrogenase 1C		Homo sapiens (Human)	fomepizole			MI:0114:x-ray crystallography	lit	15449945	GO:0004022	alcohol dehydrogenase (NAD+) activity	molecular_function								
9943	ALDH2 homotetramer		Human	in vitro	10631996	Mitochondrial aldehyde dehydrogenase is required for clearance of cellular formaldehyde, a cytotoxic and carcinogenic metabolite that induces DNA damage.			Using enzyme activity assays, it was shown that disulfiram inhibits the activity of the ALDH2 homotetramer (PMID: 9354647).	[ALDH2; ALDH2 homotetramer; 9943; disulfiram; inhibits; complex activity; 9354647]	P05091	ALDH2	ALDM	Aldehyde dehydrogenase, mitochondrial		Homo sapiens (Human)	disulfiram	619151	4	MI:0114:x-ray crystallography	pred;pred	10631996;10631996	GO:0005739;GO:0046185	mitochondrion;aldehyde catabolic process	cellular_component;biological_process								
9944	ALDH5A1 homotetramer		Human	in vitro	19300440	Mitochondrial succinate-semialdehyde dehydrogenase (ALDH5A1) is involved in the final degradation step of the inhibitory neurotransmitter gamma-aminobutyric acid by converting succinic semialdehyde to succinic acid in the mitochondrial matrix.			Using enzyme assays in rat brain tissue, it was shown that valproic acid inhibits the activity of the ALDH5A1 homotetramer (PMID: 6783097).	[ALDH5A1; ALDH5A1 homotetramer; 9944; valproic acid; inhibits; complex activity; 6783097]	P51649	ALDH5A1	SSADH	Succinate-semialdehyde dehydrogenase, mitochondrial		Homo sapiens (Human)	valproic acid	271980	4	MI:0114:x-ray crystallography	lit;lit	19300440;19300440	GO:0005759;GO:0006105	mitochondrial matrix;succinate metabolic process	cellular_component;biological_process								
9946	ALOX5-DICER1 complex	LOG5-DICER1 complex	Human	MM6 cells	33205517	5-lipoxygenase (ALOX5) modulates expression of distinct miRNA clusters on the pri-miRNA level as well as the processing of let-7e by Dicer.	In PMID: 19022417 it was shown by GST-pulldown experiments that the C-terminus of DICER interacts with 5-lipoxygenase (ALOX5).				P09917;Q9UPY3	ALOX5;DICER1	LOG5;DICER,HERNA,KIAA0928	Polyunsaturated fatty acid 5-lipoxygenase;Endoribonuclease Dicer	;Helicase MOI	Homo sapiens (Human);Homo sapiens (Human)	balsalazide;benoxaprofen;meclofenamic acid;mesalazine;olsalazine;sulfasalazine;zileuton	138800;180295;601200;618272	;	MI:0416:fluorescence microscopy;MI:1313:proximity labelling technology	exp;exp	33205517;33205517	GO:0005737;GO:0061614	cytoplasm;miRNA transcription	cellular_component;biological_process								
9947	ALOX5-CD40-PIK3R1 complex		Human	HEK293 cells; Raji B cells	21200133	The study reveals an alternative ROS (reactive oxygen species) production pathway that involves 5-lipoxygenase (ALOX5) and is triggered by CD40 ligation. Via activation of cytosolic phospholipase A2, arachidonic acid is synthesized, and this process may ultimately enhance the production of ROS by 5-lipoxygenase.					P09917;P25942;P27986	ALOX5;CD40;PIK3R1	LOG5;TNFRSF5;GRB1	Polyunsaturated fatty acid 5-lipoxygenase;Tumor necrosis factor receptor superfamily member 5;Phosphatidylinositol 3-kinase regulatory subunit alpha	;;PI3K	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	balsalazide;benoxaprofen;meclofenamic acid;mesalazine;olsalazine;sulfasalazine;zileuton	606843;269880;615214;616005	;;	MI:0019:coimmunoprecipitation	exp;exp	21200133;21200133	GO:1900745;GO:1903409	positive regulation of p38MAPK cascade;reactive oxygen species biosynthetic process	biological_process;biological_process								
9948	CACNA1B-CACNA2D1-CACNB3 complex	CaV2.2-alpha2delta1-beta3 complex	Human	HEK293F cells	34234349	The neuronal-type (N-type) voltage-gated calcium (Cav) channels, which are designated Cav2.2, have an important role in the release of neurotransmitters.			Ziconotide is a Cav2.2-specific peptide pore blocker that has been clinically used for treating intractable pain.	[CACNA1B; CACNA1B-CACNA2D1-CACNB3 complex; 9948; ziconotide; inhibits; complex activity; 34234349]	Q00975;P54289;P54284	CACNA1B;CACNA2D1;CACNB3	CACH5,CACNL1A5;CACNL2A,CCHL2A,MHS3;CACNLB3	Voltage-dependent N-type calcium channel subunit alpha-1B;Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent L-type calcium channel subunit beta-3	BIII;;CAB3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ziconotide;gabapentin;pregabalin;gabapentin enacarbil;mirogabalin	618497;620149	;;	MI:0040:electron microscopy	lit;lit	34234349;34234349	GO:0005245;GO:0098703	voltage-gated calcium channel activity;calcium ion import across plasma membrane	molecular_function;biological_process		21	Calcium ion transmembrane transport	1	Transport	GO:0070588	calcium ion transmembrane transport	biological_process
9949	CD38 homodimer		Human	Tonsillar B cells	17327405	Human CD38 is a cell surface glycoprotein of approximately 45 kDa expressed in a wide variety of cell types, including thymocytes and activated T lymphocytes, B-cell precursors and plasma cells. CD38 is also an enzyme capable of producing several calcium-mobilizing metabolites including cyclic adenosine diphosphate ribose (cADPR).	CD38 was found to be present in a monomeric and dimeric form in all cell lines analyzed, e.g. Tonsil B lymphocytes or Raji cells.	CD38 is a negative prognostic marker that correlates with shorter survival, more frequent therapeutic need, and diminished sensitivity to chemotherapeutic agents in chronic lymphocytic leukemia. Daratumumab induces potent antibody-dependent cellular cytotoxicity in CD38-expressing lymphoma- and multiple myeloma-derived cell lines as well as in patient multiple myeloma cells.	Using cell culture experiments, it was shown that CD38 antibodies daratumumab and isatuximab induce potent Ab-dependent cellular cytotoxicity in CD38+ cells (PMID: 21187443; 24987056).	"[CD38; CD38 homodimer; 9949; daratumumab; activates; complex activity; 21187443]
[CD38; CD38 homodimer; 9949; isatuximab; activates; complex activity; 24987056]"	P28907	CD38		ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	cADPr hydrolase 1	Homo sapiens (Human)	daratumumab;isatuximab		2	MI:0029:cosedimentation through density gradient	lit;lit;exp	17327405;17327405;17327405	GO:0007165;GO:0019674;GO:0044853	signal transduction;NAD metabolic process;plasma membrane raft	biological_process;biological_process;cellular_component								
9950	CD19-CD38 complex		Human	B cells	17327405	Results suggest that CD38 can deliver signals only when CD19 is present and functionally active. On the other hand, expression of CD19 proved to be irrelevant for CD38-mediated generation of the metabolite cADPR.					P15391;P28907	CD19;CD38	;	B-lymphocyte antigen CD19;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	Differentiation antigen CD19; B-lymphocyte surface antigen B4; Leu-12; ;cADPr hydrolase 1	Homo sapiens (Human);Homo sapiens (Human)	blinatumomab;inebilizumab;tafasitamab;loncastuximab tesirine;daratumumab;isatuximab	613493	;	MI:0019:coimmunoprecipitation;MI:0416:fluorescence microscopy	lit;exp	17327405;17327405	GO:0007165;GO:0044853	signal transduction;plasma membrane raft	biological_process;cellular_component								
9951	CD38-CD9-HLA-DR complex	CD38-CD9-HLA-DRA-HLA-DRB1 complex	Human	human monocytes	15941914	Subunits of the CD38-CD9-HLA-DR complex share a common pathway of tyrosine kinase activation in human monocytes.	Since the authors did not specify HLA-DRB, we used HLA-DRB1.				P28907;P21926;P01903;P01911	CD38;CD9;HLA-DRA;HLA-DRB1	;MIC3,TSPAN29;HLA-DRA1;	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1;CD9 antigen;HLA class II histocompatibility antigen, DR alpha chain;HLA class II histocompatibility antigen, DRB1 beta chain	cADPr hydrolase 1;MRP-1;MHC class II antigen DRA; ;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	daratumumab;isatuximab	126200;180300;181000	;;;	MI:0019:coimmunoprecipitation;MI:0029:cosedimentation through density gradient;MI:0416:fluorescence microscopy	exp;exp;exp;exp	15941914;15941914;15941914;15941914	GO:0007165;GO:0019882;GO:0044853;GO:0061097	signal transduction;antigen processing and presentation;plasma membrane raft;regulation of protein tyrosine kinase activity	biological_process;biological_process;cellular_component;biological_process								
9954	CD38-CD44-ITGA4-MMP9 complex	CD38-CD49d-CD44-MMP9 complex	Human	Peripheral blood mononuclear cells from patients	21569005			It was shown that ITGA4 (CD49d), CD44 and MMP9 co-immunoprecipitate with CD38 in chronic lymphocytic leukaemia (CLL) cells.			P28907;P16070;P13612;P14780	CD38;CD44;ITGA4;MMP9	;LHR,MDU2,MDU3,MIC4;CD49D;CLG4B	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1;CD44 antigen;Integrin alpha-4;Matrix metalloproteinase-9	cADPr hydrolase 1;PGP-I;Integrin alpha-IV; VLA-4; CD49 antigen-like family member D; ;MMP-9	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	daratumumab;isatuximab;natalizumab;vedolizumab;carotegrast methyl	603932;613073	;;;	MI:0019:coimmunoprecipitation;MI:0416:fluorescence microscopy													
9955	CD38-LRRK2 complex		Human	B-lymphocytes; HEK293 cells	34313548	Results mechanistically and functionally link CD38 and LRRK2 as upstream activators of TFEB (transcription factor EB), a host defense transcription factor and the master transcriptional regulator of the autophagy/lysosome machinery.					P28907;Q5S007	CD38;LRRK2	;PARK8	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1;Leucine-rich repeat serine/threonine-protein kinase 2	cADPr hydrolase 1;Dardarin; 	Homo sapiens (Human);Homo sapiens (Human)	daratumumab;isatuximab	607060	;	MI:0019:coimmunoprecipitation;MI:0055:fluorescent resonance energy transfer	exp;exp;pred	34313548;34313548;34313548	GO:0005886;GO:0007165;GO:1904092	plasma membrane;signal transduction;regulation of autophagic cell death	cellular_component;biological_process;biological_process								
9956	CD38-ITGA4-ITGB1 complex	CD29-CD38-CD49D complex	Human	Chronic lymphocytic leukemia (CLL) cells	22289918	Results point to a direct role for CD38 in enhancing CD49d-mediated adhesion processes in chronic lymphocytic leukemia (CLL).		CD49d and CD38 are independent negative prognostic markers in chronic lymphocytic leukemia (CLL). Their associated expression marks a disease subset with a highly aggressive clinical course.			P28907;P13612;P05556	CD38;ITGA4;ITGB1	;CD49D;FNRB,MDF2,MSK12	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1;Integrin alpha-4;Integrin beta-1	cADPr hydrolase 1;Integrin alpha-IV; VLA-4; CD49 antigen-like family member D; ;Fibronectin receptor subunit beta; Integrin VLA-4 subunit beta; 	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	daratumumab;isatuximab;natalizumab;vedolizumab;carotegrast methyl;natalizumab;carotegrast methyl		;;	MI:0019:coimmunoprecipitation	exp;exp	22289918;22289918	GO:0007155;GO:0044853	cell adhesion;plasma membrane raft	biological_process;cellular_component								
9957	CD79A-CD79B complex	IGA-IGB complex; BCR complex	Human	in vitro	35981028	The CD79A-CD79B complex plays a critical role in B cell development and immune responses. Formation of the CD79A-CD79B complex initiates a signal transduction cascade which leads to internalization of the complex, trafficking to late endosomes and antigen presentation.		The CD79A-CD79B complex is an attractive target for the use of antibody-drug conjugates (ADCs) because it is B-cell–specific, expressed in non-Hodgkin lymphomas (NHL), and is trafficked to a lysosomal-like compartment as part of antigen presentation.	Using BJAB-luc cells, it was shown that polatuzumab vedotin recognize the CD79A-CD79B complex followed by target-dependent killing of non-Hodgkin lymphoma cell lines in vitro. (PMID: 17374736).	[CD79B; CD79A-CD79B complex; 9957; polatuzumab vedotin; activates; complex activity; 17374736]	P11912;P40259	CD79A;CD79B	IGA,MB1;B29,IGB	B-cell antigen receptor complex-associated protein alpha chain;B-cell antigen receptor complex-associated protein beta chain	Ig-alpha;B-cell-specific glycoprotein B29; Immunoglobulin-associated B29 protein; IG-beta; 	Homo sapiens (Human);Homo sapiens (Human)	polatuzumab vedotin	613501;612692	1;1	MI:0040:electron microscopy	exp;exp;exp	10352267;10352267;10352267	GO:0002250;GO:0004888;GO:0005886	adaptive immune response;transmembrane signaling receptor activity;plasma membrane	biological_process;molecular_function;cellular_component								
9958	GDF11-FST288 complex	GDF11-FS288 complex	Human	in vitro system with human mature GDF11	28257634	GDF11 forms a complex with follistatin 288 (FS288), the short isoform of follistatin (PMID: 28257634).					P19883-2;O95390	FST;GDF11	;BMP11	Follistatin;Growth/differentiation factor 11	;	Homo sapiens (Human);Homo sapiens (Human)	luspatercept	619122	;	MI:0004:affinity chromatography technology;MI:0114:x-ray crystallography	lit;lit;lit	28257634;28257634;28257634	GO:0007179;GO:0019221;GO:0060390	transforming growth factor beta receptor signaling pathway;cytokine-mediated signaling pathway;regulation of SMAD protein signal transduction	biological_process;biological_process;biological_process								
9959	CD3-LAG3-TCR complex	CD3D-CD3E-CD3G-LAG3-TRA-TRB complex	Human	CD4+ T-cells; CD8+ T-cells	35437325	LAG3 can inhibit proximal TCR signaling and T-cell function in the absence of its canonical ligand, MHC class II. LAG3 molecules migrate to the immunological synapse through association with the TCR–CD3 complex.					P04234;P07766;P09693;P18627;P0DTU3;P0DTU4	CD3D;CD3E;CD3G;LAG3;TRA;TRB	T3D;T3E;T3G;FDC;;	T-cell surface glycoprotein CD3 delta chain;T-cell surface glycoprotein CD3 epsilon chain;T-cell surface glycoprotein CD3 gamma chain;Lymphocyte activation gene 3 protein;T cell receptor alpha chain MC.7.G5;T cell receptor beta chain MC.7.G5	;T-cell surface antigen T3/Leu-4 epsilon chain; ;;LAG-3;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	blinatumomab;muromonab-CD3;tebentafusp;teplizumab;teclistamab;epcoritamab;talquetamab;blinatumomab;muromonab-CD3;tebentafusp;teplizumab;teclistamab;epcoritamab;glofitamab;elranatamab;talquetamab;blinatumomab;muromonab-CD3;tebentafusp;teplizumab;teclistamab;epcoritamab;talquetamab;relatlimab	615617;615615;615607	;;;;;	MI:0019:coimmunoprecipitation;MI:0040:electron microscopy;MI:0416:fluorescence microscopy	exp;exp;exp	35437325;35437325;35437325	GO:0005886;GO:0023052;GO:0042130	plasma membrane;signaling;negative regulation of T cell proliferation	cellular_component;biological_process;biological_process								
9960	NECTIN1-NECTIN4 complex		Human	A431D cells	31331966	Internalized NECTIN1-NECTIN4 complexes follow the endocytic pathway.	In another study (PMID: 25275122) formation of the NECTIN1-NECTIN4 complex was also shown using co-immunoprecipitation.		Using flow cytometry experiments in Rat1(E) fibroblasts, it was shown that enfortumab vedotin inhibits the formation of the NECTIN1-NECTIN4 complex (PMID: 27013195).	[NECTIN4; NECTIN1-NECTIN4 complex; 9960; enfortumab vedotin; inhibits; complex formation; 27013195]	Q15223;Q96NY8	NECTIN1;NECTIN4	HVEC,PRR1,PVRL1;LNIR,PRR4,PVRL4	Nectin-1;Nectin-4	;	Homo sapiens (Human);Homo sapiens (Human)	enfortumab vedotin	225060;613573	;	MI:0416:fluorescence microscopy	exp	31331966	GO:0006897	endocytosis	biological_process								
9961	NECTIN4 homodimer		Human	HEK293 cells	22902367						Q96NY8	NECTIN4	LNIR,PRR4,PVRL4	Nectin-4		Homo sapiens (Human)	enfortumab vedotin	613573	2	MI:0027:cosedimentation;MI:0114:x-ray crystallography	lit;lit	22902367;22902367	GO:0005886;GO:0098609	plasma membrane;cell-cell adhesion	cellular_component;biological_process								
9964	CLDN1-TACSTD2 complex	CLDN1-TORP2 complex	Human	Corneal tissue; human corneal epithelial (HCE-T) cells	20651236	TACSTD2 protein is required for high level expression of the CLDN1 and 7 proteins and protects CLDN1 and 7 proteins from the degradation by the ubiquitin-proteasome system.		Gelatinous drop-like dystrophy (GDLD) is a rare autosomal recessive form of corneal dystrophy. Epithelial barrier function is significantly decreased in GDLD. The tumor-associated calcium signal transducer 2 (TACSTD2) gene is a causative gene for GDLD (PMID: 33816696).			O95832;P09758	CLDN1;TACSTD2	CLD1,SEMP1;GA733-1,M1S1,TROP2	Claudin-1;Tumor-associated calcium signal transducer 2	Senescence-associated epithelial membrane protein; ;	Homo sapiens (Human);Homo sapiens (Human)	sacituzumab govitecan	607626;204870	;	MI:0019:coimmunoprecipitation;MI:0813:proximity ligation assay	exp;exp	20651236;20651236	GO:0005886;GO:0022407	plasma membrane;regulation of cell-cell adhesion	cellular_component;biological_process								
9965	CLDN7-TACSTD2 complex	CLDN7-TORP2 complex	Human	Corneal tissue; human corneal epithelial (HCE-T) cells	20651236	TACSTD2 protein Is required for high level expression of the CLDN1 and 7 proteins and protects CLDN1 and 7 proteins from the degradation by the ubiquitin-proteasome system.		Gelatinous drop-like dystrophy (GDLD) is a rare autosomal recessive form of corneal dystrophy. Epithelial barrier function is significantly decreased in GDLD. The tumor-associated calcium signal transducer 2 (TACSTD2) gene is a causative gene for GDLD (PMID: 33816696).			O95471;P09758	CLDN7;TACSTD2	CEPTRL2,CPETRL2;GA733-1,M1S1,TROP2	Claudin-7;Tumor-associated calcium signal transducer 2	;	Homo sapiens (Human);Homo sapiens (Human)	sacituzumab govitecan	204870	;	MI:0019:coimmunoprecipitation;MI:0813:proximity ligation assay	exp;exp	20651236;20651236	GO:0005886;GO:0022407	plasma membrane;regulation of cell-cell adhesion	cellular_component;biological_process								
9966	GRIN2A-PDE3B complex		Human	HEK293 cells	33961781	PDE3B, one of several enzymes which hydrolyze cAMP and cGMP, is expressed in cells of importance for the regulation of energy homeostasis, including adipocytes, hepatocytes, hypothalamic cells and beta cells. It has been shown, using PDE3 inhibitors and gene targeting approaches in cells and animals, that altered levels of PDE3B result in a number of changes in the regulation of glucose and lipid metabolism and in overall energy homeostasis (PMID: 22001403). PDE3B was found to interact with the NMDA receptor GRIN2A (PMID: 33961781).		NMDA receptors has been implicated in many diseases and injuries including stroke, Parkinson’s disease, Huntington’s disease and schizophrenia (PMID: 26919761).	Cilostazol (Pletal), a drug for relief of symptoms of intermittent claudication, potently inhibits cyclic nucleotide phosphodiesterase type 3 (PDE3) and moderately inhibits adenosine uptake. It elevates extracellular adenosine concentration, by inhibiting adenosine uptake, and combines with PDE3 inhibition to augment inhibition of platelet aggregation and vasodilation while attenuating positive chronotropic and inotropic effects on the heart. In the presence of exogenous adenosine, the combination of cilostazol and dipyridamole synergistically increased intra-platelet cAMP. In whole blood, cilostazol and dipyridamole synergistically inhibited collagen- and ADP-induced platelet aggregation in vitro (PMID: 15243309). Both memantine and ketamine inhibit NMDARs by occupying the NMDAR's ion channel and occluding current flow. Both drugs are open channel blockers: when the channel is closed, the drugs have little or no ability to enter an unblocked channel or to unbind after blocking the channel. Both drugs exhibit voltage dependence, entering the channel more quickly, leaving the channel more slowly, and inhibiting more effectively as a cell's membrane potential is hyperpolarized (PMID: 25462293).		Q12879;Q13370	GRIN2A;PDE3B	NMDAR2A;	Glutamate receptor ionotropic, NMDA 2A;cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B	NMDAR2A;	Homo sapiens (Human);Homo sapiens (Human)	acamprosate;amantadine;felbamate;ketamine;memantine;dipyridamole;olprinone;pimobendan;choline theophyllinate;bufylline	245570	;	MI:0047:far western blotting;MI:0069:mass spectrometry studies of complexes;MI:0518:flag tag	lit;lit;lit	22001403;16281028;22001403	GO:0004119;GO:0004972;GO:0097009	3',5'-cGMP-inhibited cyclic-nucleotide phosphodiesterase activity;NMDA glutamate receptor activity;energy homeostasis	molecular_function;molecular_function;biological_process								
